step,params
1,"[0.70710678+0.70710678j 0.        +0.j         0.        +0.j
 0.        +0.j        ]"
101,"[ 3.23284499e-01+0.3232845j  -2.06427215e-01-0.49835938j
 -1.12933327e-15+0.53942031j  1.74960309e-01-0.42239155j]"
201,"[ 3.23284498e-01+0.3232845j  -2.06427214e-01-0.49835938j
  3.20956495e-17+0.53942031j  1.74960309e-01-0.42239155j]"
264,"[ 3.23284498e-01+0.3232845j  -2.06427214e-01-0.49835938j
  3.20956912e-17+0.53942031j  1.74960309e-01-0.42239155j]"
