step,params
1,"[0.70710678+0.70710678j 0.        +0.j         0.        +0.j
 0.        +0.j        ]"
101,"[ 3.24380917e-01+0.32438092j -2.07107514e-01-0.50000177j
  1.87118819e-16+0.53940373j  1.73563863e-01-0.41902023j]"
201,"[ 3.22569635e-01+0.32256963j -2.06754860e-01-0.49915039j
 -2.41234295e-17+0.54027594j  1.74572818e-01-0.42145607j]"
301,"[ 3.22569072e-01+0.32256907j -2.06754756e-01-0.49915014j
 -3.39957791e-16+0.54027621j  1.74573123e-01-0.4214568j ]"
401,"[ 3.22569071e-01+0.32256907j -2.06754756e-01-0.49915014j
 -1.50178325e-16+0.54027621j  1.74573123e-01-0.4214568j ]"
466,"[ 3.22569071e-01+0.32256907j -2.06754756e-01-0.49915014j
 -2.14939165e-16+0.54027621j  1.74573123e-01-0.4214568j ]"
